dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.22511263480634802,0.19811253075649302,0.195136053416702,0.152273836194284
Beef,0.17933252767645802,0.176058901570521,0.176058901570521,0.15222651616510202
Coffee,-0.011941180124468001,0.321383183942549,0.321383183942549,0.17089010556532802
Earthquakes,-0.0005570834906160001,-0.001407790364144,-0.001407790364144,0.007774986291542001
ECG200,0.13308724364041802,0.18561154688395,0.18561154688395,0.19124963631277903
ECG5000,0.457077315855312,0.48225038553424904,0.48225038553424904,0.440849753473857
FacesUCR,0.486489317741888,0.49179276616452805,0.491958005822262,0.45113632842344403
Fungi,0.856916809201224,0.865505654716592,0.865505654716592,0.8161082736030111
GunPoint,-0.003647286119685,-0.003647286119685,-0.003647286119685,-0.003647286119685
Herring,-0.002522796979098,0.014174585995721,0.014174585995721,-0.004157187200790001
InsectEPGRegularTrain,0.6783619790271991,0.6898878114654861,0.6898878114654861,0.778700525058103
MiddlePhalanxOutlineCorrect,0.005157683965767001,0.0045076507521630005,0.0045076507521630005,0.0025911472067460003
Plane,0.90523866459941,0.90523866459941,0.90523866459941,0.8367410019690851
ProximalPhalanxOutlineAgeGroup,0.5261837965580021,0.51823784552108,0.51823784552108,0.49778857092397205
SonyAIBORobotSurface2,0.164171494620406,0.21593325179545902,0.21593325179545902,0.21173543712662102
Strawberry,0.12154174871717001,0.11547869606780801,0.102429827981329,0.037188261678024005
SwedishLeaf,0.5173435645526281,0.52808310299809,0.5364708117782181,0.44373204504567904
Symbols,0.7571853778383411,0.7667087139148601,0.761414624673122,0.7818603950028871
SyntheticControl,0.591869807381975,0.6185460786669971,0.6185460786669971,0.59429140488885
Trace,0.49334111955865007,0.500388803379633,0.500388803379633,0.49646259192509606
