dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.25307224149788204,0.228388471245686,0.195706192860852,0.19578346110601402
Beef,0.079018193562277,0.07148063166419201,0.07148063166419201,0.07482365708084601
Coffee,-0.012841317999012001,0.315291585476555,0.315291585476555,0.20168378889589403
Earthquakes,-0.00034376307560900004,0.004547842654517,0.004547842654517,-0.013753370910025
ECG200,0.211806753137904,0.289580679949744,0.289580679949744,0.28371783670710005
ECG5000,0.43215209456604503,0.43906737239131205,0.43906737239131205,0.36920594541475404
FacesUCR,0.28167001749927,0.29705396023564,0.307323070218173,0.25762886404593405
Fungi,0.717674358314714,0.7444651652001041,0.7444651652001041,0.6332144384973181
GunPoint,-0.005050505050505001,-0.005050505050505001,-0.005050505050505001,-0.005050505050505001
Herring,0.0005780349271680001,0.012024305823821002,0.012024305823821002,-0.0038787180886660005
InsectEPGRegularTrain,0.5509459042702121,0.5753574938507721,0.5753574938507721,0.6866424313945111
MiddlePhalanxOutlineCorrect,0.006809805736755,0.012269042661182,0.012269042661182,0.00688451580785
Plane,0.807462552872213,0.807462552872213,0.807462552872213,0.678498507931521
ProximalPhalanxOutlineAgeGroup,0.5683569387927531,0.5471077645816881,0.5471077645816881,0.5823949284855321
SonyAIBORobotSurface2,0.239311524354399,0.29746774522332003,0.29746774522332003,0.29295812961640805
Strawberry,-0.040543142743884,-0.029926051986283002,-0.042564944729264004,0.02144278197883
SwedishLeaf,0.322101755915084,0.307769201292298,0.32082967249356703,0.26447270378701304
Symbols,0.588894780332827,0.6065936067555331,0.5994345007564,0.6366362655401151
SyntheticControl,0.43154289335087104,0.475660626904773,0.475660626904773,0.438612422513936
Trace,0.32677203042373304,0.34102189702400504,0.34102189702400504,0.33349597149985405
