dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.22214420847988603,0.20272522366518503,0.18726994898658503,0.15678634028152602
Beef,0.244556619923078,0.244556619923078,0.244556619923078,0.216311527891122
Coffee,0.0027752381732540003,0.318362580384954,0.318362580384954,0.179121178139852
Earthquakes,0.001508126365586,0.000543386681466,0.000543386681466,0.011254944226487
ECG200,0.13874107480553402,0.17539794091073302,0.17539794091073302,0.19803508969150602
ECG5000,0.5931308291970101,0.6121130518880641,0.6121130518880641,0.593121250708435
FacesUCR,0.49247233262239404,0.475937841334919,0.48284845342768506,0.464082255867021
Fungi,0.8843354400309871,0.8994542085835601,0.8994542085835601,0.8076822794963201
GunPoint,0.0,0.0,0.0,0.0
Herring,0.00335657613896,0.020147502256759,0.020147502256759,0.0016959456922290002
InsectEPGRegularTrain,0.6387526283516031,0.6387526283516031,0.6387526283516031,0.6387526283516031
MiddlePhalanxOutlineCorrect,0.006117455515905,0.005404374052249,0.005404374052249,0.0034826361776930004
Plane,0.876605190350433,0.876605190350433,0.876605190350433,0.7782656365704871
ProximalPhalanxOutlineAgeGroup,0.544929793153347,0.535740233880329,0.535740233880329,0.48703220316240403
SonyAIBORobotSurface2,0.165327804311727,0.21879316659421802,0.21879316659421802,0.214446403926999
Strawberry,0.101777467041158,0.10114509502419,0.084935064244787,0.038668651891359006
SwedishLeaf,0.522550617107868,0.518998311938771,0.5357592360662691,0.45618741997725304
Symbols,0.7302268196719801,0.732023374876543,0.7317372819836271,0.7346874511122401
SyntheticControl,0.580308521107162,0.579101710030343,0.579101710030343,0.574402695127436
Trace,0.50123012033831,0.5058967042108901,0.5058967042108901,0.5027161835306421
