dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.5228209748607281,0.49246049810854503,0.507083532603405,0.475154808590994
Beef,0.28703438986669605,0.28036203525691,0.28036203525691,0.28184937744605904
Coffee,0.5453993010935141,0.6696016887395251,0.6696016887395251,0.603123638104182
Earthquakes,0.5811240884868181,0.601017290673004,0.601017290673004,0.586315267248479
ECG200,0.6388373143028201,0.712233752089893,0.712233752089893,0.670882087626769
ECG5000,0.6509690536009971,0.656184508263238,0.656184508263238,0.599107603875211
FacesUCR,0.343152672158797,0.37390151175235004,0.377253714576946,0.317942437501802
Fungi,0.7359760914298501,0.759338452869842,0.759338452869842,0.674315037115913
GunPoint,0.49494949494949503,0.49494949494949503,0.49494949494949503,0.49494949494949503
Herring,0.5116957317599691,0.5145181234475921,0.5145181234475921,0.5060105775665981
InsectEPGRegularTrain,0.745678995967972,0.762704573669796,0.762704573669796,0.839080992593851
MiddlePhalanxOutlineCorrect,0.517389274775377,0.527288771871098,0.527288771871098,0.520693324405623
Plane,0.8429657279146331,0.8429657279146331,0.8429657279146331,0.7477726526546561
ProximalPhalanxOutlineAgeGroup,0.729209203696474,0.7161543341670971,0.7161543341670971,0.7500024572297961
SonyAIBORobotSurface2,0.638311393105041,0.662571814649881,0.662571814649881,0.660644656011486
Strawberry,0.6155907993470341,0.601195947684622,0.619188766878014,0.53785648952257
SwedishLeaf,0.37381232935865805,0.37428658921815805,0.378044811438681,0.31764731549872305
Symbols,0.670558288761898,0.688296458010472,0.6797900584753821,0.7133095316889091
SyntheticControl,0.5379037569338341,0.5953207964118521,0.5953207964118521,0.546549901416236
Trace,0.49303297311709904,0.505836922312777,0.505836922312777,0.49958100353508605
