dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.24336109719688803,0.20784818499652702,0.221282980698319,0.16310388986965402
Beef,0.284288624070657,0.281597657807494,0.281597657807494,0.25363732654296
Coffee,0.0034176740237730004,0.34418142252989703,0.34418142252989703,0.185136443836584
Earthquakes,0.001093976353668,0.000412896308036,0.000412896308036,0.008391197356063
ECG200,0.1342580024644,0.20512661107162403,0.20512661107162403,0.190880743577641
ECG5000,0.37279794342183703,0.398854117726171,0.398854117726171,0.351742340247771
FacesUCR,0.49630322042328306,0.526918253815798,0.518709827530597,0.45478113250025703
Fungi,0.9040284995919151,0.9026113463521911,0.9026113463521911,0.9126357466453651
GunPoint,0.0,0.0,0.0,0.0
Herring,0.00330325426693,0.019668547772266003,0.019668547772266003,0.001652399457042
InsectEPGRegularTrain,0.728221267880648,0.7550558759093141,0.7550558759093141,0.9999999999999991
MiddlePhalanxOutlineCorrect,0.0058531918677180005,0.005280731647382001,0.005280731647382001,0.003363358546595
Plane,0.9458338256864931,0.9458338256864931,0.9458338256864931,0.9214935512012471
ProximalPhalanxOutlineAgeGroup,0.5115379218091061,0.5047598337790701,0.5047598337790701,0.5126314753480471
SonyAIBORobotSurface2,0.16429757524638802,0.21431092733008802,0.21431092733008802,0.210263851074301
Strawberry,0.153406625531878,0.136727117700118,0.131749205789433,0.037212510085546005
SwedishLeaf,0.5467926571739611,0.574834561879189,0.5714848404305131,0.47022933272369
Symbols,0.7899897706104241,0.808601744984461,0.7973629324700721,0.8391533175527901
SyntheticControl,0.61433021163372,0.675126982111734,0.675126982111734,0.626610391042963
Trace,0.502282403230918,0.511595415321149,0.511595415321149,0.507014655046211
