dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.654208982171067,0.652493793726021,0.613044459489957,0.6350259535093651
Beef,0.6723163841807911,0.670621468926553,0.670621468926553,0.673446327683615
Coffee,0.49155844155844103,0.657142857142857,0.657142857142857,0.6006493506493501
Earthquakes,0.499443553711213,0.512892577572385,0.512892577572385,0.499443553711213
ECG200,0.6084924623115571,0.6550753768844221,0.6550753768844221,0.644020100502512
ECG5000,0.724400400080016,0.727630486097219,0.727630486097219,0.695778995799159
FacesUCR,0.8875794674176171,0.8687614248307891,0.877540437725408,0.8894955782817051
Fungi,0.9674973437650921,0.971988795518207,0.971988795518207,0.949773012653337
GunPoint,0.497487437185929,0.497487437185929,0.497487437185929,0.497487437185929
Herring,0.5004921259842521,0.506028543307086,0.506028543307086,0.498031496062992
InsectEPGRegularTrain,0.7779483456073021,0.788901566227569,0.788901566227569,0.8403485115651901
MiddlePhalanxOutlineCorrect,0.503373308616754,0.506929469476285,0.506929469476285,0.503781888800615
Plane,0.948917748917748,0.948917748917748,0.948917748917748,0.906721348826612
ProximalPhalanxOutlineAgeGroup,0.7981446007334021,0.7880411581194241,0.7880411581194241,0.7992830168025831
SonyAIBORobotSurface2,0.6205645077234161,0.6492130662275121,0.6492130662275121,0.646986721144024
Strawberry,0.499640528495627,0.501293890227554,0.499503784292234,0.511935075509734
SwedishLeaf,0.9071474891261361,0.8907868722815341,0.901175168050612,0.9024056939501771
Symbols,0.8733841328484281,0.876468664011237,0.8761800304027401,0.8856202736246601
SyntheticControl,0.828842515303283,0.8231608235948801,0.8231608235948801,0.8280912632164711
Trace,0.749597989949748,0.7528140703517581,0.7528140703517581,0.7506030150753761
